Time,Car,X,Y,"Distance to BS(4982,905)"
411,2930,4829,823,172
411,356,4841,798,176
411,1747,4796,821,203
412,1316,4884,752,181
412,2930,4862,806,155
412,356,4875,773,168
412,1747,4829,787,192
413,356,4875,773,168
413,1747,5011,657,249
413,2930,5054,626,287
413,1316,5026,1028,131
414,4769,5217,527,444
414,1747,5339,429,595
414,2930,5134,616,325
414,356,4981,908,3
415,4347,5096,1291,403
415,2930,4932,734,177
415,356,5213,883,232
415,4769,5201,547,419
416,356,5459,709,515
416,4347,4925,881,60
416,4769,5201,547,419
416,2930,4914,729,188
417,4769,5200,547,418
417,606,4727,1237,418
417,2930,4914,729,188
417,4347,4858,738,207
417,3244,4690,885,292
417,2072,4752,839,238
418,4769,5051,647,266
418,2930,4865,765,181
418,2670,4551,978,436
418,2072,4831,777,197
418,606,4771,1086,278
418,3244,4842,773,191
418,1207,4736,862,249
419,2670,4804,802,204
419,2072,5084,595,325
419,3244,5125,572,362
419,1207,4850,789,174
419,2930,4687,903,294
419,606,4701,932,281
419,4769,4768,847,221
420,606,4693,922,288
420,2072,5417,357,699
420,1207,4903,760,164
420,2670,4831,781,195
420,1034,4725,864,260
420,4507,4630,955,355
420,277,4592,961,393
421,1034,4829,790,190
421,1207,5034,1034,139
421,277,4801,816,201
421,2670,4831,781,195
421,4133,4546,994,444
421,4507,4819,835,176
421,606,4693,924,288
422,277,4801,814,202
422,2670,4831,781,195
422,1034,4828,789,192
422,606,4693,920,288
422,4133,4769,831,224
422,4507,4819,835,176
423,4133,4801,804,206
423,1034,4828,789,192
423,277,4801,814,202
423,605,5086,1266,376
423,2670,4831,781,195
423,4824,4989,1032,127
423,606,4692,922,289
423,4507,4817,831,180
424,4133,4834,777,194
424,2670,4905,715,204
424,4507,4868,781,167
424,606,4692,922,289
424,4824,4826,814,180
424,1034,4870,760,182
424,605,4988,1026,122
424,277,4833,783,192
425,2670,5297,408,588
425,4507,4973,674,230
425,1034,5021,649,258
425,606,4693,922,288
